IP-08MATAG,1
IP-08aAN1E,2
IP-08aAN1G,2
IP-08aAN2E,3
IP-08aAN2G,3
IP-08aAN3E,4
IP-08aAN3G,4
IP-08aANA1E,5
IP-08aANA1G,5
IP-08aNM1E,3
IP-08aNM1G,3
IP-08aNM2E,4
IP-08aNM2G,4
IP-08aNMALEG,5
IP-08DM1E,1
IP-08DM1G,1
IP-08aDM2E,2
IP-08aDM2G,2
IP-08LAE,1
IP-08LAG,1
IP-08aVSZE,5
IP-08aVSZG,5
IP-08aMSE,6
IP-08aKARE,4
IP-08aKARG,4
IP-08aLSZEE,3
IP-08aLSZEG,3
IP-08aAA1E,3
IP-08aAA1G,3
IP-08aAA2E,4
IP-08aAA2G,4
IP-08aFNYE,2
IP-08aFNYG,2
IP-08aMIAE,6
IP-08PAEG,1
IP-08SZGAEG,1
IP-08aPROGEG,2
IP-08aPNY1EG,2
IP-08aPNY2EG,3
IP-08aFPE,5
IP-08aFPG,5
IP-08aOEALKEG,3
IP-08aOPREG,4
IP-08aSZHE,5
IP-08aSZHG,5
IP-08aORE,6
IP-08aAB1E,4
IP-08aAB1G,4
IP-08aAB2E,5
IP-08aAB2G,5
IP-08aSZGE,4
IP-08aSZGG,4
